"","nabut_1_D5_treat_Slot1-1_1_3713","nabut_1_E2_mix_Slot1-1_1_3692","nabut_1_E3_mix_Slot1-1_1_3721","nabut_1_E5_treat_Slot1-1_1_3714","nabut_1_F2_mix_Slot1-1_1_3693","nabut_1_F5_treat_Slot1-1_1_3715","nabut_1_G3_mix_Slot1-1_1_3723","nabut_1_G5_treat_Slot1-1_1_3716","nabut_1_H2_mix_Slot1-1_1_3695","nabut_1_H5_treat_Slot1-1_1_3717","nabut_1_I2_mix_Slot1-1_1_3696","nabut_1_I5_treat_Slot1-1_1_3718","nabut_1_K2_mix_Slot1-1_1_3698","nabut_1_L2_mix_Slot1-1_1_3699","nabut_4_D2_mix_Slot1-1_1_3640","nabut_4_D5_treat_Slot1-1_1_3675","nabut_4_E2_mix_Slot1-1_1_3641","nabut_4_E5_treat_Slot1-1_1_3676","nabut_4_F5_treat_Slot1-1_1_3677","nabut_4_G2_mix_Slot1-1_1_3643","nabut_4_G5_treat_Slot1-1_1_3678","nabut_4_H5_treat_Slot1-1_1_3679","nabut_4_I2_mix_Slot1-1_1_3645","nabut_4_I5_treat_Slot1-1_1_3680","nabut_4_J2_mix_Slot1-1_1_3646","nabut_4_L2_mix_Slot1-1_1_3648","nabut_4_M2_mix_Slot1-1_1_3649","nabut_4_N2_mix_Slot1-1_1_3650","nabut_4_O2_mix_Slot1-1_1_3651"
"nabut_1_D5_treat_Slot1-1_1_3713",0,4.73564445923058e-28,2.12719572682607e-17,3.71830422710887e-29,5.02746742543527e-24,1.34101032811808e-31,6.66700352973037e-20,1.79746121124022e-24,7.13236100731887e-22,6.11083289011818e-26,5.11237841324702e-25,4.23650409960788e-30,2.83210426237029e-22,2.07389855083846e-22,5.54629890395224e-31,4.68828821505871e-35,1.06003284634493e-31,3.19943790219532e-34,4.64925286029086e-26,3.2876431507179e-25,5.70681779696944e-21,8.39880001065133e-22,2.77968800067402e-20,6.78826025665052e-26,8.82734541998613e-30,4.37035124361377e-30,3.51477899195999e-28,1.91749167778728e-22,4.25538046223269e-25
"nabut_1_E2_mix_Slot1-1_1_3692",4.73564445923058e-28,0,1.1837774244862e-13,4.75640551363503e-25,3.20686795987238e-27,2.86843491764717e-28,3.12817735731386e-14,8.06496579465969e-20,5.81333193014658e-26,8.47845063218661e-32,5.61724073733817e-33,6.43641648022103e-26,1.99832181669392e-23,1.4828632439536e-28,8.31126061123561e-27,1.36414788485376e-26,3.20243039370184e-28,9.30809927914669e-27,9.1427083635687e-24,2.43369245346538e-24,5.29727305352415e-17,1.13259598630731e-22,3.65027916448672e-25,1.98626077016285e-24,6.46858514892497e-33,6.95947654832375e-32,6.24452103434186e-29,3.4846631737051e-23,3.40467154455938e-27
"nabut_1_E3_mix_Slot1-1_1_3721",2.12719572682607e-17,1.1837774244862e-13,0,3.389541631502e-18,4.14305399193349e-12,5.54024426327006e-18,3.47907961942775e-25,2.6155038652572e-17,2.99841521217208e-12,1.87854234855145e-14,1.4836365402145e-12,1.55744706615064e-13,8.95330709742662e-12,4.48217157755859e-13,3.60409307813953e-16,1.20032813505123e-16,1.04874931700702e-16,3.05023440409559e-17,3.07145603001041e-14,4.012496759517e-16,3.1113629134378e-16,4.64932030618499e-14,1.02119981136848e-12,5.35840942310347e-16,2.21072933781937e-15,1.70096641317664e-16,7.4620925262727e-16,5.11105302126402e-14,3.06401312134719e-14
"nabut_1_E5_treat_Slot1-1_1_3714",3.71830422710887e-29,4.75640551363503e-25,3.389541631502e-18,0,5.2185268121784e-21,1.56775337250942e-32,5.19757607530347e-19,4.14030089814655e-21,6.88703600525917e-22,3.8692736037299e-28,1.10045392752094e-22,2.1846703036623e-24,7.84508451980875e-19,4.69403926389452e-23,1.65957415002523e-29,1.05191305846331e-29,1.50778649540684e-32,5.1487646212605e-28,5.72939896528781e-22,2.44950014055432e-24,3.14538778421643e-20,3.36944345888057e-19,4.49717780711131e-19,1.00709842021579e-22,5.92311040149058e-25,8.42959161584536e-28,6.86416101475999e-24,3.6037928835736e-22,1.7216627639335e-22
"nabut_1_F2_mix_Slot1-1_1_3693",5.02746742543527e-24,3.20686795987238e-27,4.14305399193349e-12,5.2185268121784e-21,0,4.41635229119886e-24,9.88332089427847e-13,3.90077421296399e-21,8.25757965293142e-30,3.30135688943104e-23,1.12127676172297e-35,3.93897934573791e-28,4.55385197119805e-41,4.00729517415516e-26,1.07703443768857e-26,2.01684635525793e-24,8.26795742386331e-22,6.999877807955e-26,2.40228392695359e-25,1.37897374189825e-20,1.29244452290896e-15,9.8773746209793e-27,1.78265966712732e-24,2.22948496844017e-24,1.69377637289056e-27,3.84371279483849e-28,3.44870624993547e-22,1.81575781451579e-25,2.58622087442361e-29
"nabut_1_F5_treat_Slot1-1_1_3715",1.34101032811808e-31,2.86843491764717e-28,5.54024426327006e-18,1.56775337250942e-32,4.41635229119886e-24,0,2.09169133606812e-18,1.49016254074352e-27,3.12892730996135e-23,1.3285051659688e-31,2.76501880652364e-26,6.02800900549702e-28,3.65542261216413e-21,6.44900381469096e-24,7.78159690204936e-31,2.10280665105615e-30,1.83142595311484e-31,3.55718605107686e-33,5.98670570677609e-29,1.75003010604276e-23,9.88238188875126e-19,3.63012429123503e-24,6.11021916179812e-22,8.10709687355065e-28,6.07118857644138e-35,8.14565753968678e-38,7.25697391221269e-31,3.50892078113966e-24,5.21652910636626e-29
"nabut_1_G3_mix_Slot1-1_1_3723",6.66700352973037e-20,3.12817735731386e-14,3.47907961942775e-25,5.19757607530347e-19,9.88332089427847e-13,2.09169133606812e-18,0,1.6998231770496e-17,2.04404745003158e-12,7.75129044077946e-15,1.39460769659959e-12,2.803920980451e-15,1.44023283368283e-12,7.29986864173386e-13,1.72642677148095e-16,3.07083711784057e-19,1.31871146321383e-18,9.50916912407224e-19,3.86844713014265e-15,2.18789105274923e-17,1.21877579847601e-19,3.09013301865151e-13,1.16289608022691e-12,7.66446736720462e-16,3.26819202071278e-16,7.33779716676545e-17,8.3272244028445e-17,1.70543705432867e-13,5.19475499036542e-14
"nabut_1_G5_treat_Slot1-1_1_3716",1.79746121124022e-24,8.06496579465969e-20,2.6155038652572e-17,4.14030089814655e-21,3.90077421296399e-21,1.49016254074352e-27,1.6998231770496e-17,0,1.15975812626281e-17,4.98705800038105e-21,2.95974128466985e-20,1.96368883348808e-22,8.98621502338661e-20,3.44116507978143e-17,2.01774056632415e-23,3.47909875610602e-22,4.45317039194391e-21,2.28275345999152e-24,1.17711513726032e-23,1.04197102895529e-20,2.02458716826204e-15,1.37537519771287e-22,4.48991109690334e-18,2.9359511768207e-23,2.9702851972567e-24,3.16743612867217e-25,5.21797065989578e-22,4.74148658271789e-21,1.16374111063498e-22
"nabut_1_H2_mix_Slot1-1_1_3695",7.13236100731887e-22,5.81333193014658e-26,2.99841521217208e-12,6.88703600525917e-22,8.25757965293142e-30,3.12892730996135e-23,2.04404745003158e-12,1.15975812626281e-17,0,1.73524002819109e-23,4.73985987907071e-31,2.17258251507773e-23,1.71143772906591e-25,1.93883998813972e-33,4.19681884101758e-27,1.33424247926064e-22,7.03844725740228e-23,8.73512533709106e-24,2.5873479926942e-22,2.88281364954268e-19,5.73564263529741e-16,1.10342422790928e-24,2.19469350087895e-21,1.91426476721767e-23,3.2898719127733e-25,1.76070570673904e-26,1.47307038382501e-20,4.51241161939554e-26,5.78357520657738e-26
"nabut_1_H5_treat_Slot1-1_1_3717",6.11083289011818e-26,8.47845063218661e-32,1.87854234855145e-14,3.8692736037299e-28,3.30135688943104e-23,1.3285051659688e-31,7.75129044077946e-15,4.98705800038105e-21,1.73524002819109e-23,0,7.52448423580101e-26,3.25239659057806e-25,4.5428281702714e-20,1.6988934958891e-25,2.87522485969814e-28,2.39945511814344e-27,6.24367543417302e-31,4.82471115102646e-26,1.18588825805159e-23,8.60832757870731e-24,1.07235411347718e-16,3.20108521156511e-20,2.57418430874843e-22,6.72321024243732e-23,2.04788064567344e-29,4.88555842724793e-32,7.15245891569957e-28,1.83154805738691e-22,8.0988896447089e-25
"nabut_1_I2_mix_Slot1-1_1_3696",5.11237841324702e-25,5.61724073733817e-33,1.4836365402145e-12,1.10045392752094e-22,1.12127676172297e-35,2.76501880652364e-26,1.39460769659959e-12,2.95974128466985e-20,4.73985987907071e-31,7.52448423580101e-26,0,4.13814981956289e-28,7.10818790493667e-29,4.52317558240128e-31,2.67526740845803e-28,1.59828039813272e-24,8.09252739026559e-24,8.65825192390234e-27,3.7459543961034e-26,1.58634077313287e-20,4.20660842806356e-16,1.24066263632827e-27,1.02967368278957e-24,4.30780691046296e-26,2.30086820582591e-30,2.49985342200877e-29,4.28477914953274e-24,1.21683067155516e-26,5.12898225056755e-32
"nabut_1_I5_treat_Slot1-1_1_3718",4.23650409960788e-30,6.43641648022103e-26,1.55744706615064e-13,2.1846703036623e-24,3.93897934573791e-28,6.02800900549702e-28,2.803920980451e-15,1.96368883348808e-22,2.17258251507773e-23,3.25239659057806e-25,4.13814981956289e-28,0,9.95299044368252e-26,2.95817536909457e-22,2.93818662830458e-29,2.99617007841098e-32,1.2928240069223e-26,2.55016177679709e-32,5.53292633634564e-34,5.11284064733852e-20,2.82024375252216e-18,5.50421467849798e-22,1.37961874413376e-20,1.01317933971378e-24,5.86238759917561e-29,1.03123348960696e-27,4.52697605247562e-26,3.97737283194604e-22,3.10144182007795e-28
"nabut_1_K2_mix_Slot1-1_1_3698",2.83210426237029e-22,1.99832181669392e-23,8.95330709742662e-12,7.84508451980875e-19,4.55385197119805e-41,3.65542261216413e-21,1.44023283368283e-12,8.98621502338661e-20,1.71143772906591e-25,4.5428281702714e-20,7.10818790493667e-29,9.95299044368252e-26,0,1.03566787971834e-22,7.88979889930654e-24,4.64023691988086e-23,1.43133373584049e-19,7.06499032285365e-24,3.06353987111264e-23,4.08780133697234e-19,2.66847849564435e-15,8.71689169010753e-25,3.96696461579607e-23,4.05018422228764e-22,3.26439087668219e-24,9.86206875378168e-25,2.38343861812833e-20,4.59435725834021e-23,9.88251330046056e-26
"nabut_1_L2_mix_Slot1-1_1_3699",2.07389855083846e-22,1.4828632439536e-28,4.48217157755859e-13,4.69403926389452e-23,4.00729517415516e-26,6.44900381469096e-24,7.29986864173386e-13,3.44116507978143e-17,1.93883998813972e-33,1.6988934958891e-25,4.52317558240128e-31,2.95817536909457e-22,1.03566787971834e-22,0,1.69619141146124e-26,1.32557610556483e-22,4.22558867660137e-23,1.03106814720695e-24,2.97045612209794e-21,2.0074098839686e-19,4.07019003670612e-18,2.63004040164936e-24,1.37804909292943e-23,2.23171857207349e-25,2.36022863665285e-26,6.3845443622878e-26,3.5087536906319e-21,2.56411909951017e-27,1.22882433308774e-26
"nabut_4_D2_mix_Slot1-1_1_3640",5.54629890395224e-31,8.31126061123561e-27,3.60409307813953e-16,1.65957415002523e-29,1.07703443768857e-26,7.78159690204936e-31,1.72642677148095e-16,2.01774056632415e-23,4.19681884101758e-27,2.87522485969814e-28,2.67526740845803e-28,2.93818662830458e-29,7.88979889930654e-24,1.69619141146124e-26,0,5.49231063111322e-31,1.37611212769646e-31,1.56739757085808e-31,3.52359624810076e-26,8.29457982038271e-24,4.94738001705158e-19,2.38484082779748e-24,4.734865956235e-20,1.91107164875726e-26,7.38233381880078e-28,1.6497564849262e-31,8.74572924455693e-24,2.39041716132369e-26,1.07609513956773e-26
"nabut_4_D5_treat_Slot1-1_1_3675",4.68828821505871e-35,1.36414788485376e-26,1.20032813505123e-16,1.05191305846331e-29,2.01684635525793e-24,2.10280665105615e-30,3.07083711784057e-19,3.47909875610602e-22,1.33424247926064e-22,2.39945511814344e-27,1.59828039813272e-24,2.99617007841098e-32,4.64023691988086e-23,1.32557610556483e-22,5.49231063111322e-31,0,2.15845935428432e-33,5.05701150854274e-35,4.26760743809077e-28,2.99759260629144e-23,3.65688674867275e-20,4.03312460241036e-20,1.33530790479733e-20,1.04570233062746e-23,1.46520840282092e-28,8.12688465428344e-31,2.42944214162194e-28,5.34113556804861e-21,1.11247586388759e-24
"nabut_4_E2_mix_Slot1-1_1_3641",1.06003284634493e-31,3.20243039370184e-28,1.04874931700702e-16,1.50778649540684e-32,8.26795742386331e-22,1.83142595311484e-31,1.31871146321383e-18,4.45317039194391e-21,7.03844725740228e-23,6.24367543417302e-31,8.09252739026559e-24,1.2928240069223e-26,1.43133373584049e-19,4.22558867660137e-23,1.37611212769646e-31,2.15845935428432e-33,0,5.34636151995387e-28,1.11384589203158e-23,9.57847521686917e-27,5.64808759215447e-19,6.56179671863052e-19,1.67252502422952e-18,4.42202096364063e-22,5.83683713591941e-28,3.09249582609548e-30,8.751974365496e-28,5.27505135933517e-21,3.06515376564919e-22
"nabut_4_E5_treat_Slot1-1_1_3676",3.19943790219532e-34,9.30809927914669e-27,3.05023440409559e-17,5.1487646212605e-28,6.999877807955e-26,3.55718605107686e-33,9.50916912407224e-19,2.28275345999152e-24,8.73512533709106e-24,4.82471115102646e-26,8.65825192390234e-27,2.55016177679709e-32,7.06499032285365e-24,1.03106814720695e-24,1.56739757085808e-31,5.05701150854274e-35,5.34636151995387e-28,0,2.83748823623736e-32,6.70260893817597e-21,5.87723743307689e-23,1.71671277164441e-25,5.07569403930002e-22,1.60655866085825e-33,9.55771053925471e-33,1.08452565522451e-32,2.02731039485901e-28,1.91575716548027e-25,3.65831128541325e-32
"nabut_4_F5_treat_Slot1-1_1_3677",4.64925286029086e-26,9.1427083635687e-24,3.07145603001041e-14,5.72939896528781e-22,2.40228392695359e-25,5.98670570677609e-29,3.86844713014265e-15,1.17711513726032e-23,2.5873479926942e-22,1.18588825805159e-23,3.7459543961034e-26,5.53292633634564e-34,3.06353987111264e-23,2.97045612209794e-21,3.52359624810076e-26,4.26760743809077e-28,1.11384589203158e-23,2.83748823623736e-32,0,2.94466733448698e-17,6.57547841500147e-17,1.26698644057701e-24,7.23056561221711e-21,4.1034952044375e-27,2.42277549499613e-31,8.46416249437029e-29,3.52395800270796e-28,3.03303781257711e-21,1.17496150458633e-32
"nabut_4_G2_mix_Slot1-1_1_3643",3.2876431507179e-25,2.43369245346538e-24,4.012496759517e-16,2.44950014055432e-24,1.37897374189825e-20,1.75003010604276e-23,2.18789105274923e-17,1.04197102895529e-20,2.88281364954268e-19,8.60832757870731e-24,1.58634077313287e-20,5.11284064733852e-20,4.08780133697234e-19,2.0074098839686e-19,8.29457982038271e-24,2.99759260629144e-23,9.57847521686917e-27,6.70260893817597e-21,2.94466733448698e-17,0,7.89449693161956e-16,4.17307471001804e-17,1.11080130368864e-17,4.65875567682488e-18,8.69774136514808e-22,4.38716871106567e-24,6.6573515605207e-21,2.00147707031042e-19,5.26046114051393e-18
"nabut_4_G5_treat_Slot1-1_1_3678",5.70681779696944e-21,5.29727305352415e-17,3.1113629134378e-16,3.14538778421643e-20,1.29244452290896e-15,9.88238188875126e-19,1.21877579847601e-19,2.02458716826204e-15,5.73564263529741e-16,1.07235411347718e-16,4.20660842806356e-16,2.82024375252216e-18,2.66847849564435e-15,4.07019003670612e-18,4.94738001705158e-19,3.65688674867275e-20,5.64808759215447e-19,5.87723743307689e-23,6.57547841500147e-17,7.89449693161956e-16,0,2.18857456510343e-16,5.99253488096053e-15,1.14396487306188e-21,1.95282087099678e-18,9.31718138245455e-18,3.30593973822646e-17,3.35574045591907e-19,7.04378927023299e-18
"nabut_4_H5_treat_Slot1-1_1_3679",8.39880001065133e-22,1.13259598630731e-22,4.64932030618499e-14,3.36944345888057e-19,9.8773746209793e-27,3.63012429123503e-24,3.09013301865151e-13,1.37537519771287e-22,1.10342422790928e-24,3.20108521156511e-20,1.24066263632827e-27,5.50421467849798e-22,8.71689169010753e-25,2.63004040164936e-24,2.38484082779748e-24,4.03312460241036e-20,6.56179671863052e-19,1.71671277164441e-25,1.26698644057701e-24,4.17307471001804e-17,2.18857456510343e-16,0,8.86357288419149e-23,2.39134420223639e-31,7.80129226364215e-27,2.83404858663104e-26,4.74746071940488e-21,1.20289391856271e-27,3.72604539683125e-33
"nabut_4_I2_mix_Slot1-1_1_3645",2.77968800067402e-20,3.65027916448672e-25,1.02119981136848e-12,4.49717780711131e-19,1.78265966712732e-24,6.11021916179812e-22,1.16289608022691e-12,4.48991109690334e-18,2.19469350087895e-21,2.57418430874843e-22,1.02967368278957e-24,1.37961874413376e-20,3.96696461579607e-23,1.37804909292943e-23,4.734865956235e-20,1.33530790479733e-20,1.67252502422952e-18,5.07569403930002e-22,7.23056561221711e-21,1.11080130368864e-17,5.99253488096053e-15,8.86357288419149e-23,0,1.02555666980653e-21,7.46317963583753e-25,1.34062676088376e-24,1.83454397566303e-21,3.00283447295896e-19,3.2826000134557e-25
"nabut_4_I5_treat_Slot1-1_1_3680",6.78826025665052e-26,1.98626077016285e-24,5.35840942310347e-16,1.00709842021579e-22,2.22948496844017e-24,8.10709687355065e-28,7.66446736720462e-16,2.9359511768207e-23,1.91426476721767e-23,6.72321024243732e-23,4.30780691046296e-26,1.01317933971378e-24,4.05018422228764e-22,2.23171857207349e-25,1.91107164875726e-26,1.04570233062746e-23,4.42202096364063e-22,1.60655866085825e-33,4.1034952044375e-27,4.65875567682488e-18,1.14396487306188e-21,2.39134420223639e-31,1.02555666980653e-21,0,3.1377359855411e-30,4.01443095042531e-28,1.73770920161591e-24,1.67454203659741e-29,3.5530996527518e-35
"nabut_4_J2_mix_Slot1-1_1_3646",8.82734541998613e-30,6.46858514892497e-33,2.21072933781937e-15,5.92311040149058e-25,1.69377637289056e-27,6.07118857644138e-35,3.26819202071278e-16,2.9702851972567e-24,3.2898719127733e-25,2.04788064567344e-29,2.30086820582591e-30,5.86238759917561e-29,3.26439087668219e-24,2.36022863665285e-26,7.38233381880078e-28,1.46520840282092e-28,5.83683713591941e-28,9.55771053925471e-33,2.42277549499613e-31,8.69774136514808e-22,1.95282087099678e-18,7.80129226364215e-27,7.46317963583753e-25,3.1377359855411e-30,0,9.01461176125865e-38,6.63055110472625e-36,1.19953034911079e-24,1.85020721588821e-34
"nabut_4_L2_mix_Slot1-1_1_3648",4.37035124361377e-30,6.95947654832375e-32,1.70096641317664e-16,8.42959161584536e-28,3.84371279483849e-28,8.14565753968678e-38,7.33779716676545e-17,3.16743612867217e-25,1.76070570673904e-26,4.88555842724793e-32,2.49985342200877e-29,1.03123348960696e-27,9.86206875378168e-25,6.3845443622878e-26,1.6497564849262e-31,8.12688465428344e-31,3.09249582609548e-30,1.08452565522451e-32,8.46416249437029e-29,4.38716871106567e-24,9.31718138245455e-18,2.83404858663104e-26,1.34062676088376e-24,4.01443095042531e-28,9.01461176125865e-38,0,2.51891657798213e-32,1.01715043615325e-24,3.05133000461302e-31
"nabut_4_M2_mix_Slot1-1_1_3649",3.51477899195999e-28,6.24452103434186e-29,7.4620925262727e-16,6.86416101475999e-24,3.44870624993547e-22,7.25697391221269e-31,8.3272244028445e-17,5.21797065989578e-22,1.47307038382501e-20,7.15245891569957e-28,4.28477914953274e-24,4.52697605247562e-26,2.38343861812833e-20,3.5087536906319e-21,8.74572924455693e-24,2.42944214162194e-28,8.751974365496e-28,2.02731039485901e-28,3.52395800270796e-28,6.6573515605207e-21,3.30593973822646e-17,4.74746071940488e-21,1.83454397566303e-21,1.73770920161591e-24,6.63055110472625e-36,2.51891657798213e-32,0,4.32713714622862e-20,7.28203466342026e-27
"nabut_4_N2_mix_Slot1-1_1_3650",1.91749167778728e-22,3.4846631737051e-23,5.11105302126402e-14,3.6037928835736e-22,1.81575781451579e-25,3.50892078113966e-24,1.70543705432867e-13,4.74148658271789e-21,4.51241161939554e-26,1.83154805738691e-22,1.21683067155516e-26,3.97737283194604e-22,4.59435725834021e-23,2.56411909951017e-27,2.39041716132369e-26,5.34113556804861e-21,5.27505135933517e-21,1.91575716548027e-25,3.03303781257711e-21,2.00147707031042e-19,3.35574045591907e-19,1.20289391856271e-27,3.00283447295896e-19,1.67454203659741e-29,1.19953034911079e-24,1.01715043615325e-24,4.32713714622862e-20,0,3.80732303881124e-27
"nabut_4_O2_mix_Slot1-1_1_3651",4.25538046223269e-25,3.40467154455938e-27,3.06401312134719e-14,1.7216627639335e-22,2.58622087442361e-29,5.21652910636626e-29,5.19475499036542e-14,1.16374111063498e-22,5.78357520657738e-26,8.0988896447089e-25,5.12898225056755e-32,3.10144182007795e-28,9.88251330046056e-26,1.22882433308774e-26,1.07609513956773e-26,1.11247586388759e-24,3.06515376564919e-22,3.65831128541325e-32,1.17496150458633e-32,5.26046114051393e-18,7.04378927023299e-18,3.72604539683125e-33,3.2826000134557e-25,3.5530996527518e-35,1.85020721588821e-34,3.05133000461302e-31,7.28203466342026e-27,3.80732303881124e-27,0
